workflow_name,mae,rmse,human_intervention_rate,total_images,images_verified,estimated_processing_time_min,threshold
Fully Automated,4.93990654008532,6.317168411995346,0.0,81,0,0.26999999999999996,
Random Sampling (25%),4.057927423398252,5.438878143912644,25.0,81,20,10.270000000000001,
Random Sampling (50%),3.343421334354782,4.769256018907176,50.0,81,40,20.27,
Random Sampling (75%),2.593820289881141,3.32130161237767,75.0,81,60,30.27,
Adaptive HITL (θ=0.6),3.6748531270358296,5.403942317668375,54.32098765432099,81,44,22.27,0.6
Adaptive HITL (θ=0.7),2.4731910413614027,3.192659991947907,82.71604938271605,81,67,33.77,0.7
Adaptive HITL (θ=0.8),2.1472900904439114,2.5379756405941443,95.06172839506173,81,77,38.769999999999996,0.8
Adaptive HITL (θ=0.9),2.0,2.0,100.0,81,81,40.769999999999996,0.9
Full Manual Verification,2.0,2.0,100.0,81,81,40.769999999999996,
