workflow_name,mae,rmse,human_intervention_rate,total_images,images_verified,estimated_processing_time_min,threshold
Fully Automated,4.529963182814328,6.556210397295906,0.0,81,0,0.26999999999999996,
Random Sampling (25%),3.862784210546517,5.5081164594712915,25.0,81,20,10.270000000000001,
Random Sampling (50%),3.494244337081909,5.049636036463546,50.0,81,40,20.27,
Random Sampling (75%),2.9503687899789695,4.286999661856773,75.0,81,60,30.27,
Adaptive HITL (θ=0.6),2.731702623543916,4.393555611357591,38.2716049382716,81,31,15.770000000000001,0.6
Adaptive HITL (θ=0.7),1.9587178568781158,2.130243174749744,61.72839506172839,81,50,25.27,0.7
Adaptive HITL (θ=0.8),1.9646140072080824,2.0465901767777317,76.5432098765432,81,62,31.27,0.8
Adaptive HITL (θ=0.9),1.9678331275045136,2.020820146005367,90.12345679012346,81,73,36.769999999999996,0.9
Full Manual Verification,2.0,2.0,100.0,81,81,40.769999999999996,
