workflow_name,mae,rmse,human_intervention_rate,total_images,images_verified,estimated_processing_time_min,threshold
Fully Automated,7.243006226768636,12.020010500198747,0.0,115,0,0.38333333333333336,
Random Sampling (25%),6.648440146737772,11.742903982439776,25.0,115,28,14.383333333333333,
Random Sampling (50%),5.346761693611093,10.274724839288194,50.0,115,57,28.883333333333333,
Random Sampling (75%),3.101302510143622,4.7303677373694475,75.0,115,86,43.38333333333333,
Adaptive HITL (θ=0.6),4.942856080441371,9.86567536933629,52.17391304347826,115,60,30.383333333333333,0.6
Adaptive HITL (θ=0.7),3.945544193490692,8.8002594917465,81.73913043478261,115,94,47.38333333333333,0.7
Adaptive HITL (θ=0.8),3.0539393664702126,7.347654565269734,89.56521739130436,115,103,51.88333333333333,0.8
Adaptive HITL (θ=0.9),2.6961867290994395,7.016124997969757,97.3913043478261,115,112,56.38333333333333,0.9
Full Manual Verification,2.0,2.0,100.0,115,115,57.88333333333333,
