workflow_name,mae,rmse,human_intervention_rate,total_images,images_verified,estimated_processing_time_min,threshold
Fully Automated,8.192469918209573,17.211339821601854,0.0,115,0,0.38333333333333336,
Random Sampling (25%),7.695119619369507,16.737816021191165,25.0,115,28,14.383333333333333,
Random Sampling (50%),6.137769494885983,14.439432577123162,50.0,115,57,28.883333333333333,
Random Sampling (75%),2.9409804665524026,5.041088868755092,75.0,115,86,43.38333333333333,
Adaptive HITL (θ=0.6),5.361548790724381,15.132448957268837,37.391304347826086,115,43,21.883333333333333,0.6
Adaptive HITL (θ=0.7),3.3555062553156976,10.347692434222635,64.34782608695652,115,74,37.38333333333333,0.7
Adaptive HITL (θ=0.8),3.1668916453485902,10.145531023156602,77.39130434782608,115,89,44.88333333333333,0.8
Adaptive HITL (θ=0.9),1.9532254239787226,2.0229974199035423,88.69565217391305,115,102,51.38333333333333,0.9
Full Manual Verification,2.0,2.0,100.0,115,115,57.88333333333333,
