workflow_name,mae,rmse,human_intervention_rate,total_images,images_verified,estimated_processing_time_min,threshold
Fully Automated,4.529963182814328,6.556210397295906,0.0,81,0,0.26999999999999996,
Random Sampling (25%),3.862784210546517,5.5081164594712915,25.0,81,20,10.270000000000001,
Random Sampling (50%),3.494244337081909,5.049636036463546,50.0,81,40,20.27,
Random Sampling (75%),2.9503687899789695,4.286999661856773,75.0,81,60,30.27,
Adaptive HITL (θ=0.3),4.529963182814328,6.556210397295906,0.0,81,0,0.26999999999999996,0.3
Adaptive HITL (θ=0.5),4.529963182814328,6.556210397295906,0.0,81,0,0.26999999999999996,0.5
Adaptive HITL (θ=0.7),1.9587178568781158,2.130243174749744,61.72839506172839,81,50,25.27,0.7
Full Manual Verification,2.0,2.0,100.0,81,81,40.769999999999996,
