epoch,train_loss,train_mae,train_rmse,val_mae,val_rmse
51,6.629735994708726e-08,10.67715954825657,14.776972971834155,0,0
52,6.702261709725995e-08,11.115642194818482,15.843368548277008,0,0
53,6.660379798332368e-08,10.616311391584707,14.831888917368646,0,0
54,6.628623894112389e-08,10.82549592336773,14.833411780385134,0,0
55,6.632672677009427e-08,10.881448059464168,15.052106132703749,11.190894610231961,16.36603333078834
56,6.749600633959574e-08,11.155617480845619,15.67430354051778,0,0
57,6.734020744003534e-08,11.230686306699269,15.967472655365764,0,0
58,6.617384703117357e-08,11.037215854259124,15.313169389088905,0,0
59,6.616523277050403e-08,10.47254058278959,15.083408017906473,0,0
60,6.51854158189157e-08,10.232268517336331,13.979826061769916,10.71304835573436,15.061827568457215
61,6.568959947817142e-08,10.72039727537346,14.667398008538289,0,0
62,6.591511954068015e-08,10.618318638628915,14.59793628030891,0,0
63,6.538073007830513e-08,10.681312377226913,14.538213918014455,0,0
64,6.52686471773078e-08,10.492782006495013,14.215905466080207,0,0
65,6.614165139378505e-08,10.971921171679934,15.558441947420711,11.928281585540642,17.464244140500917
66,6.641172773500448e-08,11.052535670555272,15.22648850845876,0,0
67,6.548631657015708e-08,10.761033952961858,15.032730605945325,0,0
68,6.57584224425929e-08,10.478281642888508,14.519212918161315,0,0
69,6.499724592127582e-08,10.35064030506565,14.09473587378534,0,0
70,6.558265761007261e-08,10.385746730405678,14.687634936807308,10.737750865494245,15.034815054606092
71,6.49153163916691e-08,10.078654821190286,13.635401497390996,0,0
72,6.515853803025264e-08,10.59477821684797,14.408358339110064,0,0
73,6.545347404300321e-08,10.484973418968039,14.837352679136028,0,0
74,6.623743331877362e-08,10.965208478379902,15.83333747923068,0,0
75,6.508130293352255e-08,10.152688619406119,14.31861964070044,10.141320995618994,14.949257642010567
76,6.376359724096082e-08,9.971432204185568,13.685430736066046,0,0
77,6.347436445711126e-08,9.942947933236676,13.549378721240428,0,0
78,6.338201671695883e-08,9.67805616010954,13.014511778518186,0,0
79,6.34690808093157e-08,9.803833461600243,13.256911927063987,0,0
80,6.3381126082274e-08,9.65735342961236,12.909207750895813,9.241400237442196,14.384223925603427
81,6.331310581130325e-08,9.73507894754336,13.291621713403345,0,0
82,6.362993998475792e-08,9.594870426147153,13.298956982467976,0,0
83,6.350326789754635e-08,9.96671975764949,13.523069614727227,0,0
84,6.318302944089501e-08,9.485234798514698,12.960628772119913,0,0
85,6.327653307473534e-08,9.842081383650745,13.260968417045401,10.87355065237093,15.337918562841821
86,6.367603476315193e-08,9.782182562939715,13.51034969075825,0,0
87,6.282703205823317e-08,9.471821347072932,12.822402462976392,0,0
88,6.345227142333993e-08,9.65938866705552,13.331613422043361,0,0
89,6.336012387706056e-08,9.692041783352009,13.198937033184055,0,0
90,6.290425189614617e-08,9.27016248415582,12.716367094339967,8.230957847185756,14.050805317036183
91,6.301826066162933e-08,9.393081463490145,13.052140746200347,0,0
92,6.301420718888025e-08,9.227510196968412,12.703178621737589,0,0
93,6.28622804017658e-08,9.310939607445572,13.073042792322402,0,0
94,6.34145750534654e-08,9.780005006474823,13.774644691947623,0,0
95,6.269697017251629e-08,9.330333647789857,12.769921833986574,10.817330188622126,15.348704023809734
96,6.317774872155375e-08,9.75520318295006,13.518693517368927,0,0
97,6.308236147561613e-08,9.432267581101332,13.140612269730694,0,0
98,6.28968387000897e-08,9.353191185573673,12.982717549887173,0,0
99,6.261607052711065e-08,9.471552650222177,12.787909198882689,0,0
100,6.296386690992636e-08,9.524657547570408,13.34562577486776,9.96121877925888,15.496766282104744
