epoch,train_loss,train_mae,train_rmse,val_mae,val_rmse
1,7.540823943907017e-08,12.695662411875457,18.866560585685487,0,0
2,7.466587747285032e-08,13.172232434134491,19.562788878651595,0,0
3,7.28689258423446e-08,12.773056882598755,18.45386529974986,0,0
4,7.250182260895239e-08,12.684728263785855,18.19356969951085,0,0
5,7.334664324341062e-08,13.501066549527499,19.916858148834628,12.372666951553876,17.261302966419265
6,7.217724991268924e-08,12.611067100692358,17.805080626307618,0,0
7,7.107833352331718e-08,12.126922645956501,16.99306795568468,0,0
8,7.138412578992887e-08,12.291050426644972,17.459869139501116,0,0
9,7.230241371646607e-08,12.629685649454043,18.328432524197495,0,0
10,7.127197785741125e-08,12.450868315735333,18.579717651540143,14.19751618305954,20.84189603014581
11,7.195020474810664e-08,12.996173132670785,18.766254732386347,0,0
12,7.024974398004745e-08,11.679094188857626,16.799596904102664,0,0
13,7.287287940163321e-08,12.927857520077486,19.929517010179318,0,0
14,7.039922378106868e-08,12.202122289538138,17.079529340370147,0,0
15,7.032717970234277e-08,11.970633080933794,17.424192905283068,12.96268084104598,18.123003854054417
16,7.008525454832216e-08,12.172925593679812,16.86949524258512,0,0
17,7.003429944879445e-08,11.75697172187096,16.83130597033749,0,0
18,6.902164706390903e-08,11.6267057221899,16.342591353298726,0,0
19,6.98826408028551e-08,12.043472701271313,17.547675447237637,0,0
20,6.94661468606806e-08,11.921116511024069,16.66926128655224,10.84089520316895,18.854899204600855
21,6.943171329412283e-08,11.874085593137158,17.028237252820652,0,0
22,6.9000051244208e-08,11.468881558982906,16.00262747300593,0,0
23,6.870656610644418e-08,11.381148653652891,15.77489468757206,0,0
24,6.870471665698376e-08,11.457227910524042,16.695489869366536,0,0
25,6.879294762431886e-08,11.713965188216394,16.49039867494384,11.968783019996328,16.80526917553184
26,6.856288175060541e-08,11.984566675840487,16.86362615401952,0,0
27,7.029223584229571e-08,12.042561778098257,19.154039560520648,0,0
28,7.116055232965989e-08,12.32299654016217,17.574207742217656,0,0
29,6.966552755019622e-08,12.042493580977595,17.257493575354477,0,0
30,6.965779653227499e-08,11.960531856916345,17.07725207750399,12.136044671884235,16.98164695006827
31,6.833103412238515e-08,11.127607873547117,15.776284081684649,0,0
32,6.786495339750202e-08,11.106728928930607,15.588744213516426,0,0
33,6.772800739705665e-08,11.27849508799185,15.626786360056418,0,0
34,6.771545443535373e-08,11.115199918109612,15.200984598072651,0,0
35,6.839454250979545e-08,11.549429505319928,16.22957140435417,11.237321248118583,15.929540955217002
36,6.729683283477687e-08,10.862110401661086,15.079237834959647,0,0
37,6.797106036493831e-08,11.521835152147533,16.369103964016404,0,0
38,6.757284627186224e-08,11.411206732756558,16.0825809291237,0,0
39,6.703563731133696e-08,10.679254195044976,15.116630873128642,0,0
40,6.681991957430836e-08,11.039245249757338,15.097732583900891,10.235803180333713,14.456225945645919
41,6.668039453900028e-08,10.881506692896544,15.246561473471955,0,0
42,6.822198102828669e-08,11.556806459792623,16.940455268728535,0,0
43,6.698086447164059e-08,11.013142988365772,15.527717972517358,0,0
44,6.691366424776044e-08,10.98273647351674,15.543734593867903,0,0
45,6.766860876381554e-08,11.526004014411562,16.325444890218755,9.766770343757834,15.351381872159857
46,6.728248390853888e-08,11.173241518165295,15.853075479473375,0,0
47,6.629744476371852e-08,10.681858496427513,14.713291661080444,0,0
48,6.84108663360123e-08,11.620912640691323,15.95393214805858,0,0
49,6.683819452244708e-08,10.919082997357243,15.011998510333054,0,0
50,6.604721480840681e-08,10.675073634120888,14.709484844840741,11.348395070538011,16.175879042907223
